Key	Value
YBR202W	OTHER
YBR205W	OTHER
YBR207W	OTHER
YBR208C	CYTOPLASM
YBR211C	OTHER
YBR212W	CYTOPLASM
YBR214W	CYTOPLASM
YBR216C	CYTOPLASM
YBR218C	CYTOPLASM
YBR221C	OTHER
YBR222C	CYTOPLASM
YBR223C	CYTOPLASM
YBR225W	CYTOPLASM
YBR227C	OTHER
YBR230C	OTHER
YBR231C	OTHER
YBR233W	CYTOPLASM
YBR233W_A	OTHER
YBR234C	OTHER
YBR236C	OTHER
YBR237W	OTHER
YBR238C	OTHER
YBR239C	CYTOPLASM
YBR241C	OTHER
YBR244W	CYTOPLASM
YBR245C	OTHER
YBR247C	OTHER
YBR248C	CYTOPLASM
YBR249C	OTHER
YBR251W	OTHER
YBR252W	CYTOPLASM
YBR253W	OTHER
YBR254C	OTHER
YBR255W	CYTOPLASM
YBR258C	OTHER
YBR259W	CYTOPLASM
YBR260C	OTHER
YBR262C	OTHER
YBR263W	OTHER
YBR264C	CYTOPLASM
YBR265W	OTHER
YBR267W	CYTOPLASM
YBR268W	OTHER
YBR269C	OTHER
YBR271W	CYTOPLASM
YBR272C	CYTOPLASM
YBR273C	OTHER
YBR274W	CYTOPLASM
YBR275C	CYTOPLASM
YBR278W	OTHER
YBR279W	OTHER
YBR281C	CYTOPLASM
YBR282W	OTHER
YBR283C	OTHER
YBR286W	CYTOPLASM
YBR287W	OTHER
YBR288C	OTHER
YBR289W	OTHER
YBR290W	OTHER
YBR291C	OTHER
YBR296C	OTHER
YCL001W	OTHER
YCL005W	OTHER
YCL009C	OTHER
YCL010C	OTHER
YCL011C	OTHER
YCL014W	OTHER
YCL016C	OTHER
YCL017C	OTHER
YCL024W	OTHER
YCL025C	OTHER
YCL027W	OTHER
YCL028W	CYTOPLASM
YCL029C	OTHER
YCL030C	CYTOPLASM
YCL031C	OTHER
YCL032W	CYTOPLASM
YCL034W	CYTOPLASM
YCL035C	CYTOPLASM
YCL037C	CYTOPLASM
YCL039W	CYTOPLASM
YCL043C	CYTOPLASM
YCL044C	OTHER
YCL050C	OTHER
YCL052C	OTHER
YCL055W	CYTOPLASM
YCL056C	OTHER
YCL057W	CYTOPLASM
YCL061C	OTHER
YCL064C	OTHER
YCR002C	OTHER
YCR003W	OTHER
YCR004C	OTHER
YCR005C	CYTOPLASM
YCR009C	OTHER
YCR011C	OTHER
YCR016W	OTHER
YCR017C	OTHER
YCR018C	CYTOPLASM
YCR020C	CYTOPLASM
YCR020W_B	OTHER
YCR023C	OTHER
YCR024C	OTHER
YCR024C_A	OTHER
YCR027C	CYTOPLASM
YCR028C	OTHER
YCR028C_A	OTHER
YCR030C	OTHER
YCR033W	OTHER
YCR034W	OTHER
YCR035C	OTHER
YCR036W	CYTOPLASM
YCR038C	OTHER
YCR042C	OTHER
YCR043C	OTHER
YCR044C	OTHER
YCR046C	OTHER
YCR047C	CYTOPLASM
YCR053W	CYTOPLASM
YCR054C	CYTOPLASM
YCR059C	CYTOPLASM
YCR060W	OTHER
YCR061W	OTHER
YCR063W	OTHER
YCR065W	OTHER
YCR067C	OTHER
YCR071C	OTHER
YCR073W_A	CYTOPLASM
YCR077C	CYTOPLASM
YCR079W	OTHER
YCR081W	OTHER
YCR082W	OTHER
YCR083W	OTHER
YCR084C	OTHER
YCR086W	OTHER
YCR087C_A	OTHER
YCR088W	OTHER
YCR092C	OTHER
YCR093W	CYTOPLASM
YCR094W	OTHER
YCR095C	CYTOPLASM
YDL001W	CYTOPLASM
YDL002C	OTHER
YDL003W	OTHER
YDL005C	OTHER
YDL008W	OTHER
YDL012C	OTHER
YDL015C	OTHER
YDL017W	CYTOPLASM
YDL018C	OTHER
YDL019C	OTHER
YDL020C	CYTOPLASM
YDL021W	OTHER
YDL022W	OTHER
YDL027C	OTHER
YDL028C	OTHER
YDL029W	CYTOPLASM
YDL030W	OTHER
YDL033C	OTHER
YDL036C	CYTOPLASM
YDL040C	CYTOPLASM
YDL042C	OTHER
YDL043C	OTHER
YDL044C	OTHER
YDL045C	CYTOPLASM
YDL045W_A	OTHER
YDL046W	OTHER
YDL048C	CYTOPLASM
YDL051W	OTHER
YDL052C	OTHER
YDL053C	CYTOPLASM
YDL054C	OTHER
YDL055C	CYTOPLASM
YDL058W	OTHER
YDL060W	CYTOPLASM
YDL061C	CYTOPLASM
YDL063C	OTHER
YDL064W	CYTOPLASM
YDL065C	CYTOPLASM
YDL066W	OTHER
YDL067C	OTHER
YDL070W	OTHER
YDL072C	OTHER
YDL074C	OTHER
YDL076C	OTHER
YDL077C	OTHER
YDL078C	CYTOPLASM
YDL080C	CYTOPLASM
YDL081C	CYTOPLASM
YDL082W	CYTOPLASM
YDL083C	CYTOPLASM
YDL085C_A	OTHER
YDL087C	OTHER
YDL088C	OTHER
YDL089W	OTHER
YDL090C	CYTOPLASM
YDL091C	OTHER
YDL092W	OTHER
YDL095W	OTHER
YDL097C	OTHER
YDL098C	OTHER
YDL099W	OTHER
YDL100C	CYTOPLASM
YDL101C	OTHER
YDL102W	OTHER
YDL103C	CYTOPLASM
YDL104C	OTHER
YDL105W	OTHER
YDL106C	CYTOPLASM
YDL107W	OTHER
YDL108W	OTHER
YDL111C	OTHER
YDL112W	CYTOPLASM
YDL115C	CYTOPLASM
YDL116W	OTHER
YDL117W	CYTOPLASM
YDL119C	OTHER
YDL120W	OTHER
YDL122W	CYTOPLASM
YDL123W	OTHER
YDL124W	OTHER
YDL125C	CYTOPLASM
YDL126C	CYTOPLASM
YDL128W	OTHER
YDL129W	CYTOPLASM
YDL130W	CYTOPLASM
YDL130W_A	OTHER
YDL132W	CYTOPLASM
YDL133C_A	CYTOPLASM
YDL134C	CYTOPLASM
YDL135C	CYTOPLASM
YDL136W	CYTOPLASM
YDL137W	OTHER
YDL139C	CYTOPLASM
YDL140C	OTHER
YDL141W	CYTOPLASM
YDL142C	OTHER
YDL144C	CYTOPLASM
YDL146W	CYTOPLASM
YDL147W	OTHER
YDL150W	OTHER
YDL152W	OTHER
YDL155W	CYTOPLASM
YDL159W	CYTOPLASM
YDL160C	CYTOPLASM
YDL161W	OTHER
YDL164C	OTHER
YDL165W	CYTOPLASM
YDL166C	OTHER
YDL167C	CYTOPLASM
YDL168W	CYTOPLASM
YDL170W	OTHER
YDL171C	CYTOPLASM
YDL173W	OTHER
YDL174C	OTHER
YDL175C	OTHER
YDL178W	OTHER
YDL181W	OTHER
YDL184C	CYTOPLASM
YDL188C	CYTOPLASM
YDL189W	CYTOPLASM
YDL191W	CYTOPLASM
YDL192W	OTHER
YDL195W	OTHER
YDL197C	OTHER
YDL201W	OTHER
YDL202W	OTHER
YDL203C	CYTOPLASM
YDL204W	OTHER
YDL205C	CYTOPLASM
YDL207W	OTHER
YDL208W	OTHER
YDL209C	OTHER
YDL211C	CYTOPLASM
YDL212W	OTHER
YDL216C	CYTOPLASM
YDL219W	CYTOPLASM
YDL220C	CYTOPLASM
YDL222C	OTHER
YDL223C	CYTOPLASM
YDL224C	CYTOPLASM
YDL225W	OTHER
YDL226C	CYTOPLASM
YDL227C	OTHER
YDL229W	CYTOPLASM
YDL230W	CYTOPLASM
YDL232W	OTHER
YDL234C	CYTOPLASM
YDL235C	CYTOPLASM
YDL236W	CYTOPLASM
YDL238C	CYTOPLASM
YDL240W	CYTOPLASM
YDR001C	CYTOPLASM
YDR004W	CYTOPLASM
YDR005C	OTHER
YDR009W	CYTOPLASM
YDR011W	OTHER
YDR012W	CYTOPLASM
YDR014W	OTHER
YDR016C	OTHER
YDR017C	CYTOPLASM
YDR019C	OTHER
YDR021W	OTHER
YDR023W	OTHER
YDR024W	CYTOPLASM
YDR025W	CYTOPLASM
YDR026C	OTHER
YDR027C	OTHER
YDR028C	CYTOPLASM
YDR032C	OTHER
YDR033W	OTHER
YDR034C	OTHER
YDR034W_B	OTHER
YDR035W	CYTOPLASM
YDR036C	OTHER
YDR038C	OTHER
YDR039C	OTHER
YDR040C	OTHER
YDR041W	OTHER
YDR043C	OTHER
YDR044W	CYTOPLASM
YDR046C	OTHER
YDR047W	CYTOPLASM
YDR049W	CYTOPLASM
YDR050C	CYTOPLASM
YDR052C	CYTOPLASM
YDR054C	OTHER
YDR055W	OTHER
YDR056C	OTHER
YDR060W	OTHER
YDR061W	OTHER
YDR062W	OTHER
YDR063W	CYTOPLASM
YDR065W	OTHER
YDR066C	CYTOPLASM
YDR068W	CYTOPLASM
YDR069C	OTHER
YDR070C	OTHER
YDR071C	CYTOPLASM
YDR074W	CYTOPLASM
YDR075W	CYTOPLASM
YDR076W	OTHER
YDR077W	OTHER
YDR079C_A	OTHER
YDR079W	OTHER
YDR080W	OTHER
YDR081C	OTHER
YDR083W	OTHER
YDR084C	OTHER
YDR086C	OTHER
YDR088C	OTHER
YDR089W	OTHER
YDR091C	CYTOPLASM
YDR092W	CYTOPLASM
YDR093W	OTHER
YDR096W	OTHER
YDR097C	OTHER
YDR098C	CYTOPLASM
YDR099W	CYTOPLASM
YDR100W	OTHER
YDR101C	OTHER
YDR103W	CYTOPLASM
YDR108W	CYTOPLASM
YDR111C	CYTOPLASM
YDR115W	OTHER
YDR116C	OTHER
YDR118W	CYTOPLASM
YDR119W	OTHER
YDR120C	OTHER
YDR121W	CYTOPLASM
YDR122W	OTHER
YDR123C	OTHER
YDR125C	OTHER
YDR127W	CYTOPLASM
YDR129C	OTHER
YDR130C	OTHER
YDR132C	CYTOPLASM
YDR135C	OTHER
YDR137W	OTHER
YDR138W	CYTOPLASM
YDR140W	CYTOPLASM
YDR141C	OTHER
YDR144C	OTHER
YDR145W	OTHER
YDR146C	CYTOPLASM
YDR147W	CYTOPLASM
YDR148C	OTHER
YDR150W	OTHER
YDR152W	CYTOPLASM
YDR153C	OTHER
YDR155C	CYTOPLASM
YDR156W	OTHER
YDR158W	CYTOPLASM
YDR159W	OTHER
YDR161W	OTHER
YDR164C	OTHER
YDR166C	OTHER
YDR167W	OTHER
YDR168W	CYTOPLASM
YDR169C	CYTOPLASM
YDR170C	OTHER
YDR170W_A	OTHER
YDR171W	CYTOPLASM
YDR172W	CYTOPLASM
YDR173C	CYTOPLASM
YDR174W	OTHER
YDR175C	OTHER
YDR176W	OTHER
YDR177W	CYTOPLASM
YDR179C	CYTOPLASM
YDR180W	OTHER
YDR182W	CYTOPLASM
YDR184C	CYTOPLASM
YDR186C	CYTOPLASM
YDR189W	OTHER
YDR190C	OTHER
YDR191W	OTHER
YDR194C	OTHER
YDR195W	OTHER
YDR196C	OTHER
YDR197W	OTHER
YDR200C	CYTOPLASM
YDR201W	OTHER
YDR202C	OTHER
YDR205W	OTHER
YDR207C	CYTOPLASM
YDR208W	CYTOPLASM
YDR210W	OTHER
YDR211W	CYTOPLASM
YDR213W	CYTOPLASM
YDR216W	CYTOPLASM
YDR217C	CYTOPLASM
YDR219C	OTHER
YDR221W	OTHER
YDR224C	OTHER
YDR226W	CYTOPLASM
YDR227W	OTHER
YDR228C	CYTOPLASM
YDR231C	OTHER
YDR232W	OTHER
YDR233C	OTHER
YDR234W	OTHER
YDR235W	OTHER
YDR236C	CYTOPLASM
YDR238C	OTHER
YDR239C	CYTOPLASM
YDR243C	OTHER
YDR244W	OTHER
YDR245W	OTHER
YDR246W	OTHER
YDR247W	OTHER
YDR248C	CYTOPLASM
YDR250C	CYTOPLASM
YDR251W	CYTOPLASM
YDR252W	CYTOPLASM
YDR254W	OTHER
YDR257C	OTHER
YDR258C	OTHER
YDR262W	CYTOPLASM
YDR264C	OTHER
YDR265W	OTHER
YDR266C	CYTOPLASM
YDR267C	CYTOPLASM
YDR268W	OTHER
YDR270W	OTHER
YDR272W	CYTOPLASM
YDR279W	OTHER
YDR280W	OTHER
YDR284C	OTHER
YDR288W	CYTOPLASM
YDR291W	OTHER
YDR293C	CYTOPLASM
YDR294C	OTHER
YDR295C	CYTOPLASM
YDR297W	OTHER
YDR298C	OTHER
YDR299W	OTHER
YDR300C	CYTOPLASM
YDR302W	OTHER
YDR303C	OTHER
YDR307W	CYTOPLASM
YDR308C	OTHER
YDR309C	CYTOPLASM
YDR310C	OTHER
YDR311W	OTHER
YDR312W	OTHER
YDR313C	OTHER
YDR314C	OTHER
YDR316W	OTHER
YDR318W	OTHER
YDR320C	CYTOPLASM
YDR320C_A	OTHER
YDR322C_A	OTHER
YDR322W	OTHER
YDR323C	OTHER
YDR324C	OTHER
YDR325W	OTHER
YDR326C	OTHER
YDR328C	CYTOPLASM
YDR329C	OTHER
YDR330W	OTHER
YDR331W	OTHER
YDR332W	OTHER
YDR333C	CYTOPLASM
YDR334W	OTHER
YDR335W	OTHER
YDR337W	OTHER
YDR338C	OTHER
YDR343C	OTHER
YDR344C	OTHER
YDR345C	OTHER
YDR346C	CYTOPLASM
YDR348C	OTHER
YDR349C	OTHER
YDR352W	OTHER
YDR353W	OTHER
YDR354W	CYTOPLASM
YDR356W	OTHER
YDR357C	OTHER
YDR358W	CYTOPLASM
YDR361C	OTHER
YDR362C	OTHER
YDR363W	OTHER
YDR363W_A	OTHER
YDR364C	OTHER
YDR365C	CYTOPLASM
YDR368W	OTHER
YDR369C	CYTOPLASM
YDR370C	CYTOPLASM
YDR372C	CYTOPLASM
YDR375C	OTHER
YDR376W	OTHER
YDR377W	OTHER
YDR379C_A	OTHER
YDR379W	CYTOPLASM
YDR380W	CYTOPLASM
YDR381W	OTHER
YDR382W	CYTOPLASM
YDR385W	CYTOPLASM
YDR388W	OTHER
YDR389W	CYTOPLASM
YDR390C	OTHER
YDR392W	OTHER
YDR394W	OTHER
YDR395W	CYTOPLASM
YDR397C	OTHER
YDR398W	OTHER
YDR399W	CYTOPLASM
YDR400W	CYTOPLASM
YDR404C	OTHER
YDR405W	OTHER
YDR407C	OTHER
YDR408C	CYTOPLASM
YDR409W	OTHER
YDR410C	OTHER
YDR416W	OTHER
YDR419W	CYTOPLASM
YDR421W	CYTOPLASM
YDR422C	CYTOPLASM
YDR423C	CYTOPLASM
YDR424C	OTHER
YDR425W	CYTOPLASM
YDR427W	CYTOPLASM
YDR430C	OTHER
YDR434W	OTHER
YDR436W	CYTOPLASM
YDR437W	OTHER
YDR440W	OTHER
YDR441C	CYTOPLASM
YDR443C	OTHER
YDR444W	CYTOPLASM
YDR448W	OTHER
YDR449C	OTHER
YDR450W	CYTOPLASM
YDR451C	OTHER
YDR452W	CYTOPLASM
YDR453C	CYTOPLASM
YDR454C	CYTOPLASM
YDR456W	OTHER
YDR457W	OTHER
YDR458C	OTHER
YDR460W	OTHER
YDR461W	CYTOPLASM
YDR462W	OTHER
YDR464W	OTHER
YDR469W	OTHER
YDR471W	CYTOPLASM
YDR472W	OTHER
YDR474C	OTHER
YDR477W	CYTOPLASM
YDR478W	OTHER
YDR479C	OTHER
YDR482C	OTHER
YDR483W	OTHER
YDR485C	OTHER
YDR487C	CYTOPLASM
YDR492W	OTHER
YDR493W	OTHER
YDR495C	OTHER
YDR496C	OTHER
YDR497C	OTHER
YDR498C	OTHER
YDR499W	CYTOPLASM
YDR500C	CYTOPLASM
YDR502C	OTHER
YDR507C	OTHER
YDR508C	OTHER
YDR510W	CYTOPLASM
YDR511W	OTHER
YDR513W	OTHER
YDR514C	OTHER
YDR515W	CYTOPLASM
YDR516C	CYTOPLASM
YDR517W	OTHER
YDR519W	OTHER
YDR520C	OTHER
YDR523C	CYTOPLASM
YDR524C	CYTOPLASM
YDR527W	CYTOPLASM
YDR528W	CYTOPLASM
YDR529C	OTHER
YDR530C	CYTOPLASM
YDR531W	CYTOPLASM
YDR532C	OTHER
YDR538W	OTHER
YDR539W	CYTOPLASM
YDR540C	CYTOPLASM
YEL001C	OTHER
YEL003W	CYTOPLASM
YEL006W	OTHER
YEL007W	OTHER
YEL008W	CYTOPLASM
YEL009C	CYTOPLASM
YEL011W	CYTOPLASM
YEL012W	CYTOPLASM
YEL013W	OTHER
YEL014C	CYTOPLASM
YEL015W	OTHER
YEL017C_A	OTHER
YEL017W	OTHER
YEL018W	OTHER
YEL019C	OTHER
YEL020C	CYTOPLASM
YEL022W	OTHER
YEL024W	OTHER
YEL027W	OTHER
YEL029C	CYTOPLASM
YEL031W	OTHER
YEL036C	OTHER
YEL039C	CYTOPLASM
YEL040W	OTHER
YEL042W	OTHER
YEL043W	OTHER
YEL044W	OTHER
YEL046C	CYTOPLASM
YEL047C	CYTOPLASM
YEL048C	OTHER
YEL050C	OTHER
YEL052W	OTHER
YEL053C	CYTOPLASM
YEL054C	CYTOPLASM
YEL055C	OTHER
YEL058W	CYTOPLASM
YEL059C_A	OTHER
YEL060C	CYTOPLASM
YEL061C	CYTOPLASM
YEL062W	CYTOPLASM
YEL066W	CYTOPLASM
YEL071W	CYTOPLASM
YER001W	OTHER
YER003C	OTHER
YER005W	OTHER
YER006W	OTHER
YER007C_A	CYTOPLASM
YER008C	OTHER
YER011W	OTHER
YER013W	OTHER
YER016W	OTHER
YER017C	OTHER
YER018C	OTHER
YER019C_A	OTHER
YER020W	OTHER
YER021W	OTHER
YER022W	OTHER
YER023W	CYTOPLASM
YER024W	CYTOPLASM
YER025W	CYTOPLASM
YER027C	CYTOPLASM
YER029C	OTHER
YER030W	OTHER
YER031C	CYTOPLASM
YER032W	CYTOPLASM
YER033C	CYTOPLASM
YER034W	CYTOPLASM
YER035W	OTHER
YER037W	CYTOPLASM
YER038C	CYTOPLASM
YER040W	CYTOPLASM
YER042W	CYTOPLASM
YER043C	CYTOPLASM
YER044C	OTHER
YER047C	CYTOPLASM
YER048W_A	OTHER
YER049W	OTHER
YER052C	CYTOPLASM
YER053C	OTHER
YER053C_A	OTHER
YER054C	CYTOPLASM
YER056C	OTHER
YER056C_A	CYTOPLASM
YER059W	CYTOPLASM
YER061C	OTHER
YER062C	CYTOPLASM
YER063W	OTHER
YER067W	CYTOPLASM
YER068W	CYTOPLASM
YER069W	OTHER
YER070W	OTHER
YER071C	OTHER
YER072W	OTHER
YER073W	OTHER
YER074W	CYTOPLASM
YER075C	CYTOPLASM
YER077C	OTHER
YER078C	OTHER
YER079W	CYTOPLASM
YER081W	CYTOPLASM
YER086W	OTHER
YER088C	OTHER
YER090W	CYTOPLASM
YER091C	CYTOPLASM
YER092W	OTHER
YER095W	CYTOPLASM
YER098W	CYTOPLASM
YER099C	CYTOPLASM
YER100W	OTHER
YER101C	CYTOPLASM
YER102W	CYTOPLASM
YER103W	CYTOPLASM
YER104W	CYTOPLASM
YER105C	OTHER
YER107C	OTHER
YER110C	CYTOPLASM
YER111C	OTHER
YER112W	CYTOPLASM
YER113C	OTHER
YER114C	OTHER
YER116C	OTHER
YER118C	OTHER
YER120W	OTHER
YER122C	OTHER
YER123W	OTHER
YER124C	OTHER
YER128W	CYTOPLASM
YER129W	CYTOPLASM
YER131W	CYTOPLASM
YER132C	CYTOPLASM
YER133W	CYTOPLASM
YER134C	CYTOPLASM
YER136W	CYTOPLASM
YER139C	CYTOPLASM
YER141W	OTHER
YER142C	CYTOPLASM
YER143W	CYTOPLASM
YER147C	OTHER
YER149C	OTHER
YER151C	CYTOPLASM
YER152C	CYTOPLASM
YER153C	OTHER
YER154W	OTHER
YER155C	CYTOPLASM
YER156C	OTHER
YER157W	OTHER
YER159C	OTHER
YER161C	OTHER
YER162C	CYTOPLASM
YER164W	OTHER
YER165W	CYTOPLASM
YER166W	OTHER
YER168C	CYTOPLASM
YER169W	OTHER
YER170W	OTHER
YER171W	OTHER
YER172C	OTHER
YER173W	OTHER
YER174C	CYTOPLASM
YER175C	CYTOPLASM
YER176W	CYTOPLASM
YER177W	CYTOPLASM
YER178W	OTHER
YER182W	OTHER
YER183C	CYTOPLASM
YFL001W	OTHER
YFL002C	OTHER
YFL004W	OTHER
YFL006W	CYTOPLASM
YFL008W	CYTOPLASM
YFL010C	CYTOPLASM
YFL013C	CYTOPLASM
YFL014W	CYTOPLASM
YFL016C	OTHER
YFL017C	CYTOPLASM
YFL017W_A	OTHER
YFL018C	OTHER
YFL021W	OTHER
YFL023W	CYTOPLASM
YFL024C	OTHER
YFL025C	OTHER
YFL026W	OTHER
YFL027C	OTHER
YFL031W	CYTOPLASM
YFL034C_B	OTHER
YFL034W	OTHER
YFL036W	CYTOPLASM
YFL041W	OTHER
YFL044C	OTHER
YFL045C	CYTOPLASM
YFL046W	OTHER
YFL047W	OTHER
YFL048C	OTHER
YFL049W	OTHER
YFR001W	OTHER
YFR002W	OTHER
YFR004W	OTHER
YFR005C	OTHER
YFR006W	CYTOPLASM
YFR009W	CYTOPLASM
YFR010W	OTHER
YFR013W	OTHER
YFR014C	CYTOPLASM
YFR015C	OTHER
YFR016C	CYTOPLASM
YFR017C	CYTOPLASM
YFR019W	CYTOPLASM
YFR024C	OTHER
YFR024C_A	OTHER
YFR025C	CYTOPLASM
YFR027W	CYTOPLASM
YFR030W	CYTOPLASM
YFR031C	OTHER
YFR031C_A	CYTOPLASM
YFR032C_A	CYTOPLASM
YFR033C	CYTOPLASM
YFR034C	CYTOPLASM
YFR036W	OTHER
YFR037C	OTHER
YFR039C	CYTOPLASM
YFR040W	CYTOPLASM
YFR041C	OTHER
YFR044C	OTHER
YFR047C	CYTOPLASM
YFR048W	CYTOPLASM
YFR049W	OTHER
YFR050C	OTHER
YFR051C	OTHER
YFR052W	OTHER
YFR053C	CYTOPLASM
YGL001C	OTHER
YGL005C	OTHER
YGL006W	OTHER
YGL008C	OTHER
YGL009C	CYTOPLASM
YGL010W	OTHER
