ID	Functional_category
YBR162C	MITOCHON...
YBR162W_A	ER
YBR163W	MITOCHON...
YBR164C	PUNCTATE...
YBR166C	CYTOPLASM
YBR167C	NUCLEUS
YBR168W	PUNCTATE...
YBR170C	NUCLEUS
YBR171W	ER
YBR172C	CYTOPLASM
YBR173C	NUCLEUS
YBR175W	NUCLEUS
YBR176W	MITOCHON...
YBR177C	LIPID PA...
YBR179C	MITOCHON...
YBR181C	CYTOPLASM
YBR185C	MITOCHON...
YBR188C	NUCLEUS
YBR189W	CYTOPLASM
YBR191W	CYTOPLASM
YBR194W	Not visu...
YBR195C	NUCLEUS
YBR197C	CYTOPLASM
YBR198C	CYTOPLASM
YBR200W	BUD NECK
YBR202W	NUCLEUS
YBR205W	PUNCTATE...
YBR207W	VACUOLAR...
YBR208C	CYTOPLASM
YBR211C	SPINDLE ...
YBR212W	CYTOPLASM
YBR214W	CYTOPLASM
YBR216C	CYTOPLASM
YBR218C	CYTOPLASM
YBR221C	MITOCHON...
YBR222C	CYTOPLASM
YBR223C	CYTOPLASM
YBR225W	CYTOPLASM
YBR227C	MITOCHON...
YBR230C	MITOCHON...
YBR231C	NUCLEUS
YBR233W	CYTOPLASM
YBR233W_A	SPINDLE ...
YBR234C	PUNCTATE...
YBR236C	NUCLEUS
YBR237W	NUCLEUS
YBR238C	MITOCHON...
YBR239C	CYTOPLASM
YBR241C	VACUOLAR...
YBR244W	CYTOPLASM
YBR245C	NUCLEUS
YBR247C	NUCLEOLUS
YBR248C	CYTOPLASM
YBR249C	NUCLEUS
YBR251W	MITOCHON...
YBR252W	CYTOPLASM
YBR253W	NUCLEUS
YBR254C	PUNCTATE...
YBR255W	CYTOPLASM
YBR258C	NUCLEUS
YBR259W	CYTOPLASM
YBR260C	BUD NECK
YBR262C	MITOCHON...
YBR263W	NUCLEUS
YBR264C	CYTOPLASM
YBR265W	ER
YBR267W	CYTOPLASM
YBR268W	MITOCHON...
YBR269C	MITOCHON...
YBR271W	CYTOPLASM
YBR272C	CYTOPLASM
YBR273C	ER
YBR274W	CYTOPLASM
YBR275C	CYTOPLASM
YBR278W	NUCLEUS
YBR279W	NUCLEUS
YBR281C	CYTOPLASM
YBR282W	MITOCHON...
YBR283C	ER
YBR286W	CYTOPLASM
YBR287W	ER
YBR288C	PUNCTATE...
YBR289W	NUCLEUS
YBR290W	ER
YBR291C	MITOCHON...
YBR296C	ER
